sl.num,Grid Number,City name,Road_length,Network Density ,CA,population
390,G391,Yellandu,190.9979397,1.62589261,272.3,35056
391,G392,Giddalur,236.367742,1.9897057,243.79,35150
392,G393,Balarampur,220.9531784,1.996094492,125.32,34113
393,G394,Angamali,700.1402831,5.776844912,1175.22,33424
394,G395,Vemalwada,214.3179502,1.833195286,381.01,33706
395,G396,Narsipatnam,219.691598,1.870859562,317.96,33757
396,G397,Shrirangapattana,375.4919529,3.121675568,384.62,34135
397,G398,Shamsabad,1231.169816,10.46146342,713.37,32583
398,G399,Almora,429.6885495,4.002451349,160.57,34122
399,G400,Kondapalle,536.1302751,4.540414171,690.08,33373
400,G401,Debagram,105.2259456,0.931467853,351.44,32695
401,G402,Fatehpur Sikri,210.7858089,1.918143022,277.12,32905
402,G403,Jamikunta,224.1639453,1.915459171,449.7,32645
403,G404,Darsi,148.6470137,1.253593388,221.92,33418
404,G405,Umaria,201.501386,1.7815948,216.45,33114
405,G406,Kovur,707.0185319,5.927443886,1522.04,32082
406,G407,Erraguntla,294.5127687,2.470749123,609.89,32574
407,G408,Naspur,271.7898808,2.329648763,826,31244
408,G409,Kalyandrug,225.4233776,1.890441436,179.81,32328
409,G410,Mangur,193.0515108,1.646401655,410.18,32091
410,G411,Tummapala,256.7408779,2.18691903,549.42,31035
411,G412,Pedana,403.2367268,3.408957649,211.97,30721
412,G413,Pandua,88.2113335,0.777386338,421.03,30700
413,G414,Lalgola,109.4278434,0.974113216,469.64,31698
414,G415,Mussoorie,281.2342867,2.641384111,90.96,30118
415,G416,Margram,133.7586925,1.188245224,484.73,30055
416,G417,Podili,153.4499567,1.293092415,220.18,31145
417,G418,Uran,457.3020256,3.92113611,539.24,30439
418,G419,Mainaguri,152.6571473,1.382934249,252.33,30490
419,G420,Egra,143.5130856,1.254254279,197.9,30148
420,G421,Leh,348.0197023,3.402698363,229.51,30870
421,G422,Chimakurti,453.3592819,3.819967948,330.32,30279
422,G423,Koratgi,113.5440693,0.956832049,278.95,29991
423,G424,Garaimari,104.367144,0.926227193,341.41,29260
424,G425,Devarkonda,197.9593305,1.677202105,364.52,29731
425,G426,Pattikonda,121.1180528,1.019655485,154.1,29342
426,G427,Atmakur,43.725,0.36679409,171.31,29419
427,G428,Sonamukhi,110.4184815,0.974658525,290.55,29085
428,G429,Khunti,96.97109491,0.854174908,85.44,29271
429,G430,Nakrekal,571.4868436,4.853625783,302.22,29126
430,G431,Kodumur,129.9729045,1.095669963,179.2628,28828
431,G432,Srungavarapukota,127.226021,1.086101356,166.41,28304
432,G433,Kalwakurti,105.5166055,0.893757093,188.26,28060
433,G434,Banswada,130.4493262,1.115286656,210.55,28384
434,G435,Silvassa,307.2827319,2.656869579,1130.18,27359
435,G436,Kotagiri,248.6765609,2.059970713,254.67,28207
436,G437,Ramanayyapeta,80.82253103,0.686981493,148.19,28369
437,G438,Tanguturu,338.5790195,2.849592257,233.4,27652
438,G439,Varandarapilli,625.5687817,5.165079716,570.6,27343
439,G440,Payakaraopeta,147.7577451,1.256563447,98.11,27001
440,G441,Penukonda,199.4358203,1.669129127,168.91,27382
441,G442,Bandipura,204.9319859,2.009682885,473.21,27482
442,G443,Suluru,172.0921521,1.437953437,276.13,27504
443,G444,Panchanandapur,15.70420081,0.140361361,287.8,26358
444,G445,Pamidi,310.8762069,2.611740419,219.67,26886
445,G446,Gilarchat,121.2600778,1.061013893,67.18,25897
446,G447,Guruzala,88.65800624,0.750692745,232.99,26190
447,G448,Narasannapeta,255.3771293,2.183760026,313.57,26280
448,G449,Chintalapudi,272.4724901,2.312890095,136.26,25952
449,G450,Renigunta,615.6307267,5.142972046,532.6,26031
450,G451,Kottapeta,105.0001707,0.889685455,195.65,24539
451,G452,Raghunathpur,357.1190036,3.158102023,259.29,25561
452,G453,Attili,206.4972528,1.749539292,270.98,25004
453,G454,Gajwel,261.8973623,2.232488843,228.09,24961
454,G455,Singarayakonda,138.3650067,1.164037672,290.2,24324
455,G456,Avanigadda,294.3579252,2.48547119,172.54,23737
456,G457,Khed Brahma,87.85069833,0.779697305,323.99,25001
